Model,Brand,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage_included,Weight_incbatteries,Dimensions,Price
Canon PowerShot S1 IS,Canon,2004,2048.0,1600.0,3.0,38.0,380.0,10.0,10.0,32.0,469.0,111.0,399.0
Canon PowerShot S20,Canon,2000,2048.0,1024.0,3.0,32.0,64.0,66.0,12.0,16.0,320.0,106.0,399.0
Canon PowerShot S200,Canon,2002,1600.0,1024.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon PowerShot S230,Canon,2002,2048.0,1600.0,3.0,35.0,70.0,47.0,10.0,16.0,250.0,87.0,199.0
Canon PowerShot S2 IS,Canon,2005,2592.0,2048.0,5.0,36.0,432.0,50.0,10.0,16.0,505.0,113.0,399.0
Canon PowerShot S30,Canon,2001,2048.0,1600.0,3.0,35.0,105.0,80.0,10.0,16.0,323.0,112.0,399.0
Canon PowerShot S300,Canon,2001,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,270.0,95.0,199.0
Canon PowerShot S330,Canon,2002,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,274.0,95.0,199.0
Canon PowerShot S3 IS,Canon,2006,2816.0,2272.0,6.0,36.0,432.0,50.0,10.0,16.0,510.0,113.0,399.0
Canon PowerShot S40,Canon,2001,2272.0,1600.0,3.0,35.0,105.0,80.0,10.0,16.0,323.0,112.0,139.0
Canon PowerShot S400,Canon,2003,2272.0,1600.0,3.0,36.0,108.0,46.0,5.0,32.0,230.0,87.0,139.0
Canon PowerShot S410,Canon,2004,2272.0,1600.0,3.0,36.0,108.0,0.0,5.0,32.0,215.0,87.0,139.0
Canon PowerShot S45,Canon,2002,2272.0,1600.0,3.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,139.0
Canon PowerShot S50,Canon,2003,2592.0,1600.0,5.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,399.0
Canon PowerShot S500,Canon,2004,2592.0,2048.0,5.0,36.0,108.0,0.0,5.0,32.0,215.0,87.0,149.0
Canon PowerShot S5 IS,Canon,2007,3264.0,2272.0,8.0,36.0,432.0,50.0,10.0,32.0,550.0,117.0,399.0
Canon PowerShot S60,Canon,2004,2592.0,1600.0,5.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
Canon PowerShot S70,Canon,2004,3072.0,2592.0,7.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
